Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
68083-373,Metronidazole,Gland Pharma Limited,500,mg/100mL,"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",$4.67,7
43063-817,clonidine hydrochloride,"PD-Rx Pharmaceuticals, Inc.",0.1,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$1.34,4
70518-2663,metronidazole,REMEDYREPACK INC.,500,mg/1,"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",$147.01,13
0316-0165,Triamcinolone Acetonide,Crown Laboratories,0.25,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$189.86,80
70839-312,aliskiren hemifumarate and hydrochlorothiazide,"Noden Pharma USA, Inc.",300; 12.5,mg/1; mg/1,"Increased Diuresis [PE], Renin Inhibitor [EPC], Renin Inhibitors [MoA], Thiazide Diuretic [EPC], Thiazides [CS]",$50.53,49
59651-404,MEMANTINE HYDROCHLORIDE,Aurobindo Pharma Limited,7,mg/1,"N-methyl-D-aspartate Receptor Antagonist [EPC], NMDA Receptor Antagonists [MoA]",$10.96,21
43598-634,Penicillamine,Dr. Reddy's Laboratories Inc.,250,mg/1,Antirheumatic Agent [EPC],$5.20,49
63323-464,BUPIVACAINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC",2.5,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Local Anesthesia [PE]",$55.31,42
80056-160,Glycopyrrolate,Intra-Sana Laboratories,1.5,mg/1,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$100.67,84
71335-0696,Labetalol HCl,Bryant Ranch Prepack,300,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$114.33,94
61269-402,HYDROXYUREA,H2-Pharma LLC,200,mg/1,"Antimetabolite [EPC], Urea [CS]",$7.91,17
45802-499,Alogliptin Benzoate and Pioglitazone hydrochloride,Padagis Israel Pharmaceuticals Ltd,25; 45,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA], PPAR alpha [CS], PPAR gamma [CS], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator Receptor gamma Agonist [EPC], Peroxisome Proliferator-activated Receptor Activity [MoA], Thiazolidinedione [EPC], Thiazolidinediones [CS]",$11.62,13
66993-407,carbamazepine,Prasco Laboratories,100,mg/1,"Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",$0.78,49
42291-498,Metformin Hydrochloride,AvKARE,750,mg/1,"Biguanide [EPC], Biguanides [CS]",$9.83,14
70347-050,Metoprolol succinate,Aralez Pharmaceuticals US Inc.,50,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$180.12,73
63629-2093,Levorphanol Tartrate,Bryant Ranch Prepack,2,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$52.04,9
0404-9899,lidocaine hydrochloride,"Henry Schein, Inc.",20,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$129.96,61
45865-101,valsartan,Medsource Pharmaceuticals,80,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$143.68,94
25021-669,cisatracurium besylate,Sagent Pharmaceuticals,10,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE], Nondepolarizing Neuromuscular Blocker [EPC]",$157.69,92
62332-483,Doxycycline Hyclate,Alembic Pharmaceuticals Inc.,150,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$55.72,49
63739-995,Divalproex sodium,McKesson Corporation dba SKY Packaging,125,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",$34.52,58
72189-067,FLUOXETINE HYDROCHLORIDE,DIRECT RX,40,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$134.65,79
68462-564,Mupirocin,"Glenmark Pharmaceuticals Inc., USA",2,g/100g,"RNA Synthetase Inhibitor Antibacterial [EPC], RNA Synthetase Inhibitors [MoA]",$72.77,78
62175-107,isosorbide mononitrate,"Lannett Company, Inc.",20,mg/1,"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",$127.44,68
63629-2171,Dexmethylphenidate Hydrochloride,Bryant Ranch Prepack,10,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$22.12,54
0574-1104,"Brompheniramine Maleate, Pseudoephedrine Hydrochloride and Dextromethorphan Hydrobromide",Padagis US LLC,2; 10; 30,mg/5mL; mg/5mL; mg/5mL,"Adrenergic alpha-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-Adrenergic Agonist [EPC]",$54.51,2
67546-212,nitazoxanide,"Romark Laboratories, L.C.",100,mg/5mL,Antiprotozoal [EPC],$69.95,15
70518-3612,Finasteride,REMEDYREPACK INC.,5,mg/1,"5-alpha Reductase Inhibitor [EPC], 5-alpha Reductase Inhibitors [MoA]",$98.29,17
42192-133,Sodium Sulfacetamide and Sulfur,"Acella Pharmaceuticals, LLC",80; 40,mg/mL; mg/mL,"Sulfonamide Antibacterial [EPC], Sulfonamides [CS]",$189.03,2
71205-501,Omeprazole,Proficient Rx LP,10,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$1.80,90
0264-7634,"DEXTROSE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE",B. Braun Medical Inc.,5; .075; .45,g/100mL; g/100mL; g/100mL,"Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$34.18,23
42558-123,Oxygen,Bozeman Deaconess Health Services,99,L/100L,,$4.31,82
58118-0791,acyclovir,"Clinical Solutions Wholesale, LLC",400,mg/1,"DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$56.01,5
70594-063,PHENYLEPHRINE HYDROCHLORIDE,Xellia Pharmaceuticals USA LLC,10,mg/mL,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",$42.11,42
68180-378,Losartan Potassium,"Lupin Pharmaceuticals, Inc.",100,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$130.29,58
71610-277,Oxybutynin Chloride,"Aphena Pharma Solutions - Tennessee, LLC",5,mg/1,"Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$12.02,100
43975-279,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate","ANI Pharmaceuticals, Inc.",3.75; 3.75; 3.75; 3.75,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$9.46,41
65219-018,ampicillin sodium,"Fresenius Kabi USA, LLC",1,g/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$6.45,69
67877-198,Amlodipine besylate,"Ascend Laboratories, LLC",5,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$39.58,65
19218-0004,Oxygen,"Anesthesia Service, Inc.",659,L/659L,,$14.23,86
59651-499,Hydroxyzine Hydrochloride,Aurobindo Pharma Limited,10,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$2.36,84
0517-1830,Testosterone Cypionate,"American Regent, Inc.",200,mg/mL,"Androgen Receptor Agonists [MoA], Androgen [EPC], Androstanes [CS]",$210.28,26
43547-522,quetiapine,"Solco Healthcare US, LLC",300,mg/1,Atypical Antipsychotic [EPC],$98.71,19
67457-781,Docetaxel,Mylan Institutional LLC,20,mg/mL,"Microtubule Inhibition [PE], Microtubule Inhibitor [EPC]",$118.57,63
70771-1488,valsartan and hydrochlorothiazide,Zydus Lifesciences Limited,12.5; 320,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$79.01,78
0591-2070,lidocaine and prilocaine,"Actavis Pharma, Inc.",25; 25,mg/g; mg/g,"Amide Local Anesthetic [EPC], Amide Local Anesthetic [EPC], Amides [CS], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE], Local Anesthesia [PE]",$117.42,39
62135-406,phenobarbital,"Chartwell RX, LLC",32.4,mg/1,,$39.76,4
68071-2750,doxycycline,"NuCare Pharmaceuticals,Inc.",100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$47.22,93
70518-1479,Lamotrigine,REMEDYREPACK INC.,200,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$33.93,57
43598-441,Methylphenidate Hydrochloride,Dr.Reddys Laboratories Inc,54,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$0.76,46
0071-0535,quinapril hydrochloride,Parke-Davis Div of Pfizer Inc,40,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$78.74,81
60505-2676,Aripiprazole,Apotex Corp,20,mg/1,Atypical Antipsychotic [EPC],$25.05,28
62135-430,Ursodiol,"Chartwell RX, LLC",300,mg/1,"Bile Acid [EPC], Bile Acids and Salts [CS]",$13.13,68
0093-2277,Amoxicillin and Clavulanate Potassium,"Teva Pharmaceuticals USA, Inc.",200; 28.5,mg/5mL; mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$61.10,29
61958-0406,TENOFOVIR DISOPROXIL FUMARATE,"Gilead Sciences, Inc.",250,mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleosides [CS]",$59.22,31
70954-276,Fluphenazine Hydrochloride,Novitium Pharma LLC,10,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$9.90,13
69097-385,lenalidomide,Cipla USA Inc.,25,mg/1,Thalidomide Analog [EPC],$15.50,3
71610-080,Metoprolol Tartrate,"Aphena Pharma Solutions - Tennessee, LLC",100,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$21.15,73
63187-911,Norgestimate and Ethinyl Estradiol,Proficient Rx LP,,,,$142.05,58
0068-0597,rifampin,Sanofi-Aventis U.S. LLC,600,mg/10mL,"Rifamycin Antibacterial [EPC], Rifamycins [CS]",$131.23,30
70710-1069,VARDENAFIL,Zydus Pharmaceuticals USA Inc.,5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$37.37,41
65862-408,Venlafaxine Hydrochloride,Aurobindo Pharma Limited,100,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$35.67,41
51079-288,clozapine,Mylan Institutional Inc.,100,mg/1,Atypical Antipsychotic [EPC],$18.07,3
65219-401,Zinc Sulfate,"Fresenius Kabi USA, LLC",1,mg/mL,"Copper Absorption Inhibitor [EPC], Decreased Copper Ion Absorption [PE]",$221.24,99
61958-0601,EMTRICITABINE,"Gilead Sciences, Inc.",200,mg/1,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleosides [CS]",$1.64,14
0517-0031,cyanocobalamin,"American Regent, Inc.",1000,ug/mL,"Vitamin B 12 [CS], Vitamin B12 [EPC]",$11.96,29
72578-002,acyclovir,Viona Pharmaceuticals Inc,200,mg/1,"DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$212.77,3
16729-034,letrozole,"Accord Healthcare, Inc.",2.5,mg/1,"Aromatase Inhibitor [EPC], Aromatase Inhibitors [MoA]",$138.74,16
50458-720,Ponesimod,"Janssen Pharmaceuticals, Inc",20,mg/1,"Sphingosine 1-Phosphate Receptor Modulators [MoA], Sphingosine 1-phosphate Receptor Modulator [EPC]",$109.96,33
80425-0200,Sertraline Hydrochloride,"Advanced Rx Pharmacy of Tennessee, LLC",50,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$159.48,37
70934-275,Rosuvastatin Calcium,"Denton Pharma, Inc. dba Northwind Pharmaceuticals",10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$4.06,90
64980-514,timolol maleate,"Rising Pharmaceuticals, Inc.",5,mg/mL,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$53.28,13
0173-0755,lamotrigine,GlaxoSmithKline LLC,50,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$215.73,32
67296-1801,Doxycycline Hyclate,"RedPharm Drug, Inc.",100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$6.51,57
62135-448,Hydrochlorothiazide,"Chartwell RX, LLC",25,mg/1,"Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$59.62,13
71335-1742,Tramadol Hydrochloride and Acetaminophen,Bryant Ranch Prepack,325; 37.5,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$103.85,88
63629-2194,Felodipine,Bryant Ranch Prepack,2.5,mg/1,"Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$36.45,91
0832-6021,Chlorpromazine Hydrochloride,"Upsher-Smith Laboratories, LLC",200,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$81.60,15
63629-9201,Cephalexin,Bryant Ranch Prepack,500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$1.25,79
63187-359,AMITRIPTYLINE HYDROCHLORIDE,Proficient Rx LP,50,mg/1,Tricyclic Antidepressant [EPC],$13.22,86
26124-001,Oxygen,"HELGET, INC.",99.9,L/L,,$169.78,7
0093-1025,Nefazodone Hydrochloride,"Teva Pharmaceuticals USA, Inc.",200,mg/1,Serotonin Reuptake Inhibitor [EPC],$8.46,100
0143-9254,Dopamine Hydrochloride,Hikma Pharmaceuticals USA Inc.,40,mg/mL,"Catecholamine [EPC], Catecholamines [CS]",$71.74,16
68083-104,Ketorolac Tromethamine,Gland Pharma Limited,30,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$5.93,43
42192-341,"CALCIUM CITRATE, IRON PENTACARBONYL, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL ACETATE, DL-, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, DOCUSATE SODIUM and DOCONEXENT","Acella Pharmaceuticals, LLC",30; 28; 800; 325; 55; 29; 1.25; 25; 160,[iU]/1; mg/1; [iU]/1; mg/1; mg/1; mg/1; mg/1; mg/1; mg/1,"Analogs/Derivatives [Chemical/Ingredient], Ascorbic Acid [CS], Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Vitamin B 6 [Chemical/Ingredient], Vitamin B6 Analog [EPC], Vitamin C [EPC], Vitamin D [CS], Vitamin D [EPC]",$9.92,42
50090-4516,Bupivacaine Hydrochloride,A-S Medication Solutions,5,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Local Anesthesia [PE]",$8.42,88
49702-233,maraviroc,ViiV Healthcare Company,25,mg/1,"CCR5 Co-receptor Antagonist [EPC], Chemokine Co-receptor 5 Antagonists [MoA]",$61.84,56
71288-153,Azacitidine,Meitheal Pharmaceuticals Inc.,100,mg/1,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$2.67,29
69660-203,rucaparib,"Clovis Oncology, Inc.",300,mg/1,"Poly(ADP-Ribose) Polymerase Inhibitor [EPC], Poly(ADP-Ribose) Polymerase Inhibitors [MoA]",$87.33,57
43547-005,roflumilast,"Solco Healthcare US, LLC.",500,ug/1,"Phosphodiesterase 4 Inhibitor [EPC], Phosphodiesterase 4 Inhibitors [MoA]",$4.91,13
51407-474,Diltiazem hydrochloride,"Golden State Medical Supply, Inc.",180,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$150.42,88
47335-671,Diltiazem Hydrochloride,"Sun Pharmaceutical Industries, Inc.",240,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$17.86,35
65862-678,Alprazolam,Aurobindo Pharma Limited,1,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$146.66,39
62584-265,Metoprolol Tartrate,American Health Packaging,25,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$187.91,6
62135-470,Prednisone,"Chartwell RX, LLC",1,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$19.85,77
76282-333,Warfarin,Exelan Pharmaceuticals Inc.,6,mg/1,"Vitamin K Antagonist [EPC], Vitamin K Inhibitors [MoA]",$133.64,96
63629-8988,clonazepam,Bryant Ranch Prepack,1,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$24.59,91
71335-1123,Minocycline Hydrochloride,Bryant Ranch Prepack,100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$123.37,80
72658-0811,PREGABALIN,Eskayef Pharmaceuticals Limited,100,mg/1,,$16.24,95
0409-1418,MEPERIDINE HYDROCHLORIDE,"Hospira, Inc.",50,mg/mL,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$27.25,11
51672-1371,Clobetasol Propionate,"Taro Pharmaceuticals U.S.A., Inc.",0.05,g/mL,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$13.68,82
69238-1747,Pilocarpine Hydrochloride,Amneal Pharmaceuticals NY LLC,40,mg/mL,"Cholinergic Agonists [MoA], Cholinergic Muscarinic Agonists [MoA], Cholinergic Receptor Agonist [EPC]",$142.30,42
68180-513,Lisinopril,"Lupin Pharmaceuticals, Inc.",5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$89.31,75
63187-920,Famciclovir,Proficient Rx LP,500,mg/1,"DNA Polymerase Inhibitors [MoA], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$142.18,43
59651-270,Glipizide,Aurobindo Pharma Limited,10,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$74.53,73
63739-567,Tamsulosin Hydrochloride,McKesson Corporation dba SKY Packaging,0.4,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$56.72,15
23647-001,Oxygen,"SYOXSA, Inc.",995,mL/L,,$8.72,58
52544-692,Diltiazem Hydrochloride,"Actavis Pharma, Inc.",240,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$13.21,81
0049-0420,penicillin G potassium,Roerig,5000000,[iU]/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$152.37,15
0404-9892,Lidocaine Hydrochloride,"Henry Schein, Inc.",20,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$74.41,95
63304-091,Sunitinib malate,Sun Pharmaceutical Industries Inc.,12.5,mg/1,"Kinase Inhibitor [EPC], Protein Kinase Inhibitors [MoA]",$0.51,50
72789-285,Amlodipine and Benazepril Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",10; 20,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Decreased Blood Pressure [PE], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$194.83,13
71205-087,Hydroxyzine Pamoate,Proficient Rx LP,25,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$13.23,22
63323-690,ACETYLCYSTEINE,"Fresenius Kabi USA, LLC",200,mg/mL,"Antidote [EPC], Antidote for Acetaminophen Overdose [EPC], Decreased Respiratory Secretion Viscosity [PE], Increased Glutathione Concentration [PE], Mucolytic [EPC], Reduction Activity [MoA]",$88.90,11
70529-005,BUPIVACAINE HYDROCHLORIDE,IT3 Medical LLC,5,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Local Anesthesia [PE]",$59.31,94
68788-7832,Metoprolol Tartrate,Preferred Pharmaceuticals Inc.,25,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$3.28,4
68382-101,Venlafaxine,Zydus Pharmaceuticals USA Inc.,100,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$102.59,22
16714-682,Simvastatin,NorthStar Rx LLC,10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$27.08,16
69315-134,Imipramine Hydrochloride,"Leading Pharma, LLC",25,mg/1,Tricyclic Antidepressant [EPC],$25.20,14
63187-206,Mirtazapine,Proficient Rx LP,15,mg/1,,$10.02,49
70518-3489,Losartan Potassium,REMEDYREPACK INC.,25,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$49.56,90
71335-1662,ESZOPICLONE,Bryant Ranch Prepack,2,mg/1,,$26.37,25
75834-196,glycopyrrolate,"Nivagen Pharmaceuticals, Inc.",0.2,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$43.12,58
68788-7738,clonazepam,"Preferred Pharmaceuticals, Inc.",1,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$5.16,79
76075-102,carfilzomib,"Onyx Pharmaceuticals, Inc.",30,mg/15mL,"Proteasome Inhibitor [EPC], Proteasome Inhibitors [MoA]",$140.36,41
0338-6046,Fluconazole,Baxter Healthcare Corporation,200,mg/100mL,"Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",$0.31,65
0378-6991,albuterol sulfate,Mylan Pharmaceuticals Inc.,0.63,mg/3mL,"Adrenergic beta2-Agonists [MoA], beta2-Adrenergic Agonist [EPC]",$128.37,10
70518-1514,ATORVASTATIN CALCIUM,REMEDYREPACK INC.,80,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$16.27,86
0591-0606,Labetalol hydrochloride,"Actavis Pharma, Inc.",200,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$28.63,27
61919-688,SIMVASTATIN,DIRECT RX,10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$55.00,35
63629-9166,Dronabinol,Bryant Ranch Prepack,2.5,mg/1,"Cannabinoid [EPC], Cannabinoids [CS]",$42.36,9
52584-910,Atropine Sulfate,"General Injectables & Vaccines, Inc.",0.1,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA], Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$38.18,52
62332-507,Bimatoprost,Alembic Pharmaceuticals Inc.,0.3,mg/mL,"Prostaglandin Analog [EPC], Prostaglandins [CS]",$198.38,50
13107-109,HYDROMORPHONE HYDROCHLORIDE,"Aurolife Pharma, LLC",8,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$4.66,72
67525-100,OXYGEN,"Spectrum Gas Products, Inc",99,L/100L,,$66.10,72
31722-144,Captopril,"Camber Pharmaceuticals, Inc.",100,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$17.11,77
43386-088,voriconazole,"Lupin Pharmaceuticals,Inc.",50,mg/1,"Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",$29.64,27
68055-647,LIDOCAINE HYDROCHLORIDE,SINTETICA SA,20,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$82.61,85
0054-8297,Furosemide,West-Ward Pharmaceuticals Corp.,20,mg/1,"Increased Diuresis at Loop of Henle [PE], Loop Diuretic [EPC]",$119.62,85
16571-697,LANSOPRAZOLE,"Rising Pharma Holdings, Inc.",15,mg/1,"Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$41.88,92
65162-871,Methylprednisolone,Amneal Pharmaceuticals LLC,4,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$73.23,98
51672-4057,Amiodarone Hydrochloride,"Taro Pharmaceuticals U.S.A., Inc.",400,mg/1,"Antiarrhythmic [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$23.48,22
